Kod;Nazwa
M0106-007;PLANDEKA HEYTEX H5872-0286 212CM WHITE BIAŁĄ
M0106-008;PLANDEKA NAIZIL SPORTSCOVER WHITE BIAŁA 720gr, Rolka 300cm, towar na wykroje dla HansAa
M0106-009;PLANDEKA MEHLER 8596 6999 3000 908908 800gr Polymar Poly Opak plandeka biała [NIEROT,SPR PONOWNIE 06.2026] Zederkof 00245
M0106-010;PLANDEKA CHINA LANDMECO 320CM T9750BL ŻÓŁTA BLOCKOUT 750gr
M0106-011;PLANDEKA HEYTEX H5872-0286 150CM 700gr White BIAŁA (do drukarni) 65LM [ZAMAWIAĆ RAZEM Z M0106-003 - JEDNO MOQ]
M0106-012;PLANDEKA CHINA ZEDERKOF/ROTOR 300CM BIAŁA 700gr TRUDNOPALNA RAL9016
M0106-013;PLANDEKA CHINA ZEDERKOF 300CM CZARNA 700gr TRUDNOPALNA
M0106-014;PLANDEKA SIOEN B9191/6054/250CM MILTARY 700GR TRUDNOPLANA
M0107-001;PLANDEKA CHINA LIFTINGBAG 205CM C6000L POMARAŃCZOWA 900gr - zamawiać w Europie (Stosować M0107-049 - Zamiennik MEHLER)
M0107-003;PLANDEKA HEYTEX H5551-2008 300CM 900gr Orange POMARAŃCZOWY
M0107-004;PLANDEKA HEYTEX H5551-3002 300CM Red CZERWONY 900gr, towar na nowe paseczki Kazia (po przyjęciu dać znać Monice o nr certyfikatu z rolki!!!)PYTAĆ KiT
M0107-005;PLANDEKA HEYTEX H5873-0286 300CM 900gr BIAŁA Pressalit TRUDNOPOALNA białe nosze
M0107-006;PLANDEKA HEYTEX H5873-7140 900gr 300CM Grey SZARA
M0107-007;PLANDEKA MEHLER 8540 5240 300CM 705705 JASNOSZARA 900gr
M0107-008;PLANDEKA MEHLER 8540 5240 300CM 907901 BIAŁA 900gr TRUDNOPALNA
M0107-009;PLANDEKA MEHLER 8556 5240 300CM 148148 ŻÓŁTA 900gr
M0107-010;PLANDEKA MEHLER 8556 5240 300CM 370370 CZERWONA 900gr
M0107-011;PLANDEKA MEHLER 8556 5240 300CM 544544 NIEBIESKA 900gr RAL5002  [NOWY INDEKS 4444 5551 3000 5002]
M0107-012;PLANDEKA MEHLER 8556 5240 300CM 597597 CIEMNONIEBIESKI 900gr
M0107-013;PLANDEKA MEHLER 8556 5240 300CM 602602 ZIELONA 900gr (6-kant)
M0107-014;PLANDEKA MEHLER 8556 5240 300CM 619619 JASNOZIELONA 900gr
M0107-015;PLANDEKA MEHLER 8556 5240 300CM 619619 JASNOZIELONA 900gr
M0107-016;PLANDEKA MEHLER 8556 5240 300CM 636636 ZIELONA 900gr MAN TRUCK
M0107-017;PLANDEKA MEHLER 8556 5240 300CM 705705 900gr JASNOSZARA-705 [NOWY INDEKS 4444 5551 300CM 7701]
M0107-018;PLANDEKA MEHLER 8556 5240 300CM 729729 JASNOSZARA 900gr
M0107-019;PLANDEKA MEHLER 8556 5240 300CM 905905 CZARNA 900gr [NOWY INDEKS 4444 5551 300CM 9005]
M0107-020;PLANDEKA MEHLER 8556 5240 300CM 907907 BIAŁA 900gr (RAL 9010) [NOWY INDEKS 4444 5551 3000 9010]
M0107-021;PLANDEKA SIOEN B6000/1024/300CM ŻÓŁTA 900gr
M0107-022;PLANDEKA SIOEN B6000/3001/300CM CZERWONA 900gr
M0107-023;PLANDEKA SIOEN B6000/3021/300CM POMARAŃCZOWY 900gr
M0107-024;PLANDEKA SIOEN B6000/5063/300CM NIEBIESKI 900gr
M0107-025;PLANDEKA SIOEN B6000/5095/300CM JASNONIEBIESKI 900gr
M0107-026;PLANDEKA SIOEN B6000/6036/300CM ZIELONA 900gr
M0107-027;PLANDEKA SIOEN B6000/7001/300CM SZARA 900gr zamiennik Mehler 8556 705705
M0107-028;PLANDEKA SIOEN B6000/7003/300CM SZARY 900gr
M0107-029;PLANDEKA SIOEN B6000/7179/300CM SZARA 900gr
M0107-030;PLANDEKA SIOEN B6000/7999/300CM CZARNA 900gr
M0107-031;PLANDEKA SIOEN B6000/9002/300CM BIAŁY 900gr
M0107-032;PLANDEKA SIOEN B6194/5238/300CM NIEBIESKA TRUDNOPALNA 900gr RAL 5003
M0107-040;PLANDEKA MEHLER 8556 5240 300CM 679679 ZIELONA 900gr RAL6005
M0107-041;PLANDEKA HEYTEX H5551-7035 300CM 900GR LIGHT GREY SZARA
M0107-042;PLANDEKA HEYTEX H5551 RAL 5003 300CM 900GR BLUE NIEBIESKA
M0107-043;PLANDEKA RESZTKI - na wzmocnienia
M0107-044;PLANDEKA SIOEN B6000/1001/300CM Żółta 900gr
M0107-045;PLANDEKA NAIZIL 900gr POMARAŃCZOWA 300 CM 60mtr - przechodzimy na Heytex H5551-2008 300 Orange Towar na wykroje do Hans AA
M0107-046;PLANDEKA MEHLER 8556 5240 3000 552552 NIEBIESKA RAL 5003 900gr (na KKWS Level) [JAK SIĘ SKOŃCZY STAN UZYWAĆ M0107-052]
M0107-047;PLANDEKA SIOEN B6134/9002/300cm BIAŁA 900g
M0107-048;PLANDEKA VERSEIDAG B1616 / TXB-900A WHITE 300 cm - Trudnopalna
M0107-049;PLANDEKA MEHLER 8556 5240 300CM 221221 POMARAŃCZOWY 900g RAL2008 LIFTINGBAG TORBY
M0107-050;PLANDEKA VERSEIDAG B1629 250CM CZARNA 650gr
M0107-051;PLANDEKA MEHLER 8556 5240 300CM 711711 900gr SZARA-711
M0107-052;PLANDEKA CHINA 300CM NIEBIESKA RAL 5003, 900GR ( zamiennik za M0107-046) [przed kolejnym zamówieniem zapytać o aktualny forecast]
M0107-053;PLANDEKA SIOEN B6134/7999/300cm CZARNA 900g , ROLKI 60MB
M0107-054;PLANDEKA OPTO-PLAST 300CM CIEMNO-ZIELONA 900gr RAL 6026
M0107-055;PLANDEKA CHINA TRUDNOPALNA 300CM NIEBIESKA RAL 5003 900gr - plandeka na małe elementy TUFD proszę nie brać
M0107-056;PLANDEKA SIOEN B6134/7455/300cm SZARA 900g TRUDNOPALNA , ROLKI 65MB (DOPISAĆ KOLOR PO DOSTAWIE)
M0107-057;PLANDEKA NA WZMOCNIENIA 900GR NIEBIESKA 900g tarpaulin in blue Ral5022 color (3m width) Two-side with Lacquering
M0107-058;PLANDEKA SIOEN B6108/6054/300CM ZIELONA 900GR NON SPRAYED
M0107-059;PLANDEKA SIOEN B6108R PATTERN C0003 300CM 900GR - CAMO0003
M0107-060;PLANDEKA SIOEN B6108R PATTERN C0002 300CM 900GR - CAMO0002
M0107-061;PLANDEKA SIOEN B6108R PATTERN C0001 300CM 900GR - CAMO0001
M0107-062;PLANDEKA SIOEN B6109/7165/300CM SZARA 950 GR TRUDNOPALNA
M0108-001;PLANDEKA MEHLER 7022 5241 250CM 543543 NIEBIESKA PIANKA 3MM 1300gr
M0108-002;PLANDEKA MEHLER 7022 5241 300CM 705705 SZARA PIANKA 3MM 1300gr
M0108-003;PLANDEKA MEHLER 7608 5340 204CM 781781 SZARY 1300gr BAFFLE
M0108-007;PLANDEKA VERSEIDAG B1017/250CM/032 BIAŁA KREMOWA ecru
M0108-008;PLANDEKA VERSEIDAG B1077/300CM/102 BIAŁA Svith Holding
M0108-009;PLANDEKA VERSEIDAG B14312/300CM/001 CZARNA 1250g/m2 50MTR SPILLAGE zejść ze stanu i używać M0108-014
M0108-010;PLANDEKA VERSEIDAG B14312/300CM/073 POMARAŃCZOWA Senvion Blade Wraps
M0108-011;PLANDEKA VERSEIDAG B1679/149CM/073 POMARAŃCZOWA 1680g/m2
M0108-012;PLANDEKA VERSEIDAG B1679/265CM/073 POMARAŃCZOWA 1680g/m2
M0108-013;PLANDEKA VERSEIDAG B1017/300CM/286286 BIAŁA 650gr TRUDNOPALNA RAL9016 JAK SIĘ SKOŃCZY PRZECHODZIMIY NA ZEDERKOF CHINA [M0106-012]
